inventor_first_name,inventor_last_name,inventor_id
Thomas L.,"Collins, III",6834482-1
Russell A.,Fisher,5290531-1
William L.,Richardson,D546218-3
Alan R.,Bukach,9440330-1
Adam,Wixted,8712809-7
Jeffrey C.,Bergren,4915560-2
Joseph A.,Murawski,D428824-1
Eric M.,Graban,10031143-1
Patrizia R.,Desmarais,4381441-1
Francis M.,Seger,4144387-4
Gregg R.,Beaudette,5772542-2
Yi,Zhou,8766341-2
Yiu-Hung David,Lam,6516667-2
Riley Garland,Pinson,7506699-2
Burdette D.,Thomson,5117750-2
Nancy,Moore,D478788-1
Bradley,Griffith,10055780-1
Vernon,"Coughran, Jr.",D425657-1
Luther L.,Huey,7948724-2
Thomas N.,Hansen,8381723-3
Caroline H.,Duesing,8895280-6
Philip M.,Sauter,10028694-4
Marjorie,Krueger,8370416-3
Kyle,Gorman,9852123-3
Ben,Koch,8864104-1
Arthur C.,Schulz,3933987-1
Stacy W.,Mehranfar,5303161-2
Sarah V.,Jaffer,9985872-1
David B.,Olsson,5416726-5
James L.,Houston,4378817-1
John J.,"Nicholas, Jr.",4570156-1
DeWayne F.,"Jeter, Jr.",D320475-1
Donald D.,Worman,6178926-1
Victor J.,Cee,7560551-1
Humberto T.,Zarate,4694890-1
Robin,Newman,D457575-2
Jay,Perdue,5644872-1
Frank,"Frastaci, Jr.",6449618-3
Wilbur,Menard,D584597-1
Chan Woo,Park,10026844-3
Carolyn H.,Spann,5868145-1
Tanya A.,Kyslowsky,5673690-3
Marc A.,"Greenleaf, Sr.",5417729-1
John A.,Pugliano,9745701-4
Barbara A.,Watson,D340456-1
William B.,Warshaw,7227658-2
Matthew S.,Klahn,8346255-4
John P.,Cahalen,6174647-1
Christopher J.,Young,7185216-3
Kevin M.,Gillespie,7983896-2
Hedieh,Saffari,9789212-2
Mark,Klusty,7449050-2
William A.,"Threadgill, Jr.",D296749-1
Sandor,Barcza,3976684-1
Normal L.,Miller,4346186-4
Christopher J.,Bradford,5276130-1
Caroline T.,Scully,D504431-1
David B.,Mitchell,4904393-1
Burton K.,Cox,D258896-1
Michael P.,Swenson,7548165-4
Jessina,Collins,9249929-2
Dale,Baltzell,10068210-2
Keith G.,Rochford,8950183-2
Mark,Thorne,5601597-2
Marshall I.,Teichner,4887536-1
Leonard A.,Davi,6204824-1
Ali,Ebtekar,10037617-1
David P.,Hollingbery,6260886-1
Doc A.,Anderson,5573241-1
Jerry L.,Kohli,4419792-1
Richard G.,Pechter,4918587-1
Michial Allen,Gunter,6829289-2
Clifford R.,Cannon,4604579-1
Timothy,Salmon,9358349-2
Renee,Manuel,7740067-5
Ronald,Mackert,6921143-2
Daniel W.,Sines,5455768-2
Jeffrey George,Komatsu,7302445-3
Keaton,Anderson,10122490-4
John E.,Ploschnitznig,8751064-1
Joanna Clare,Reynolds,D669795-2
Anthony S.,Fung,5200168-3
Helmut,Resch,4653355-3
William J.,Purvis,D558903-1
Maurilio,Torres,8065277-2
David H.,Baugher,5232103-2
Adam L.,Weeks,D504628-1
Lawrence G.,Meyers,10017926-1
Harry,Wilson,4965940-1
Barry J.,Streusand,4926021-1
Curtis M.,Jones,8893517-2
Thomas T.,Lee,5378334-2
Harry D.,Doty,3951107-1
Clairmont G.,Drube,5631245-1
Richard A.,Bargerhuff,5247167-1
Rosemarie A.,Gabriele,6368695-1
Jonathan,Rowen,7980770-1
Frances,Bevan,8700666-1
David Daniel,Myre,7407131-3
David,Gramenz,9446704-1
Jason S.,Burgess,9958240-1
Ryszard A.,Pilatowski,9247368-2
Norman S.,Pollard,4726431-2
Michael Allen,Capone,6676918-2
Christopher J.,Kasten,10027728-4
A. Michael,Paiva,6607231-1
Patrick David,Ferguson,9617835-1
Eric Lapeng,"Chau, Jr.",6152289-3
Lars Tommy,Westbye,10052438-1
Marc,Angelo,10018567-6
Anthony,Moschopoulos,6809964-1
Yu-Jen,Wu,6535029-4
Aris,Nicols,D448872-4
Carl A.,Koval,5084169-2
Anh P.,Tran,7657574-3
Ronald A.,Beer,6485005-7
Laura J.,Tapper,D670931-1
Stefanie,Heine,7198751-3
Thomas W.,McGee,4232175-2
Michael P.,Iannuzzi,5041393-4
Pauline,Hambly,5021020-1
Trevor,Blanding,D832503-1
Richard Qun,Li,5808423-1
Edward J.,Kemble,4763388-1
Philip A.,Stone,5256013-5
Glenn E.,Anderson,5669638-1
Albert Reid,Wallace,10072863-1
Kevin Daniel,Carden,7698233-3
Sabi,Avramescu,5577658-2
Arthur F.,Jacobson,D344015-1
Grady Feren,Hayes,7966735-1
Erik O.,Aberg,4952248-1
Nadav,Benbarak,7714398-1
Jerald E.,Winters,4261954-3
Charles W.,Sherburne,D243519-1
David K.,Young,5230754-2
Alex F.,Druash,4377034-1
Olumide,Adebayo,10108971-2
Robert B.,Barcell,4974528-1
Patrick,Mavrakis,8802258-2
Thomas,Lord,7849964-2
Ari,Juels,10104104-1
Ronald L.,Hurt,4659252-2
Darryl E.,Whitley,10108216-5
Karun,Mehta,6326096-3
Russell E.,Evans,6113238-2
Stephanie J.,Moeller,8007905-3
Thomas,Gronski,7857238-4
Dan,Meiser,D588272-1
Anthony R.,James,7575621-7
Vladimir,Kompan,5614477-1
Alden O.,Sherman,4483168-1
Karl H.,Burzlaff,4004673-1
Jamison D.,Colins,9442721-5
Digvijay,Jadhav,9231686-7
Denise L.,Schult,7236099-1
Charles Eugene,Beatty,5864084-2
Thomas N.,Foreman,5650759-4
George I.,Tsuda,4005433-1
James,Mrvos,5059045-1
Stephen John,Luther,9546813-1
Ken,Hance,10023895-13
Malissa,Galloway Sullivan,7752271-2
Shinichi,Yamamura,4572965-1
Edward Z.,Voss,6974684-21
Shawn M.,Stanger,7852235-10
David R.,Wickholm,4768866-1
John Patrick,Rea,8582713-2
Paul T.,Chaney,8186234-2
Matthew Thomas,Short,10115234-3
Kimball,Moss,D573915-1
Janet,Sperbeck,D590551-1
Steve,Allen,6243798-6
James L.,Slayden,4304554-1
Anthony,Gagliardi,10106820-4
Kevin,Philbin,8099894-1
Robert,David,4982960-1
Meghan,Nines,10022700-16
Christine Elizabeth,Johnson,D747482-1
David James,Liller,7082930-1
Edward K.,Evans,4661955-3
Clyde L.,Vest,5351867-1
Donald,Raney,4610206-3
Joseph,Jennings,8758158-1
Sharon L.,Gualitieri,6220108-4
Howard B.,Hurst,4282614-1
Benjamin James,Linyard,10066417-2
Ming S.,Tung,5037639-1
James S.,Petty,3998393-1
Frank James,King,8168752-2
Alan H.,Purdy,6364055-1
Kathleen M.,Betterton,5068054-1
Casper William,Barnes,6012031-3
Joshua S.,Preston,8013463-1
Vincent E.,McCurdy,5520932-1
James E.,Donovan,4544365-1
Timothy B.,Hogan,6747821-2
Laurence N.,Wesson,4214225-1
Chaithanya A.,Ramachandra,8867831-2
David E.,Schneider,4706747-1
Honore Ivory,Alexander,7014011-1
Nam Sung,Kim,10024916-3
Ludmilla,Gimelfarb,7674489-8
Lavern H.,Schwanke,4642777-1
Warren Eugene,Kenney,3965548-2
Timothy,Tan,D638066-3
Mark R.,Burchett,5575535-1
Wenlai,Zhou,10011874-6
Edward,Jones,4285782-2
Christopher E.,Toal,8727279-3
Val G.,Henneberg,3996113-1
Thomas H.,Piquette,7799111-2
R. Neil,Jackson,4111805-2
Daniel R.,Gee,5006697-2
Kaikun,Yang,8129001-4
Joseph L.,Dallas,6676305-1
David Y.,Reuter,5299358-1
David Michael,Brandt,5191753-4
Ronald E.,Barron,6253433-1
Mourad D.,Zarouri,10045742-3
Daniel L.,Stewart,4442504-4
Aaron Boyd,Cole,7999230-1
John A.,Neumann,4574623-1
Tina,Wong,6757735-9
Shiva,Persaud-Deolall,7996893-1
Charles A.,Cornell,6683818-1
Robert David,Jacobs,6481384-1
Robert P.,Slager,5313522-1
Enrique,Solis,10136633-1
Norman E.,Wideburg,4264590-4
William G.,Clogg,3945410-1
Christopher Joseph,Murk,6031301-3
Greg Allen,Bur,9654501-2
Edwin G.,Gullet,D310410-4
Glynis G.,Dsouza,10013171-3
Cun,Wen,9169167-3
James,Ezick,8688619-1
Ralph M.,Pipitone,5394547-2
Nancy T.,Pascoe,5118384-3
Diego,Cusi,9073524-1
Guy,Paterson,6510824-5
John C.,Maudlin,4903629-2
Alfonso,Barajas,6540049-4
Steven L.,Plee,4930478-1
Yi,Xiao,10000790-3
Tai,Lee,5578342-2
Richard H.,Moyer,4794345-5
Craig S.,Ames,8321682-2
Brian R.,Sabala,D490141-2
Tiasheng,Feng,5268866-1
Christopher M.,Prindle,10068978-2
Richard J.,Giglio,4239245-1
Mariya,Nagatkina,7507783-2
Rick,Panicucci,5451303-4
Lawrence W.,Torley,4686220-2
Raziel,Alvarez Guevara,9257120-1
Jeffrey M.,Miller,5411450-4
Thomas H.,Burgess,4074571-1
Michael D.,Williams,10043007-11
Antonio B.,Martinez,6514018-1
Joseph R.,Catalano,4139136-1
Susan D.,Horton,H0011657-1
Kevin,Edmonds,6178800-1
Fred,DeSieghardt,D330996-2
Calvin L.,Wilbourne,4223662-2
Gary Alan,Schlachter,5684967-3
Donald Kevin,Porter,5775450-1
Thomas B.,Lloyd,5360689-2
Henry Frederick,Schwarz,10113866-2
Fred A.,Akel,4792271-1
Jennifer,DiLorenzo,8601938-2
Hongbing,Huang,8426447-11
John H.,Brekke,4151843-1
Vijay,Murgai,8284490-2
Pleasant T.,Rowland,6527609-1
Robert Paul,Loomis,4068270-2
David,Shin,9840002-4
David M.,Kalish,5506967-2
Clifford K.,Bath,4721625-3
Clarence R.,Zitzow,4063531-1
Timothy P.,Donahue,10057208-2
Peter M.,Nielsen,5375847-4
Dinah H.,Lin,8477921-3
Louis,Bojrab,9504501-1
Abhay S.,Shah,5710727-5
Robert K.,Seolas,8132095-1
Ivy D.,Johnson,10047304-16
Andrew M.,Gulick,6136605-2
Shaofeng,Ding,9133491-1
Robert P.,Marchese,4226115-3
Bryan,Silverthorn,9437070-2
Marc J.,Yland,5110721-2
Dickie D.,Hoffman,4042255-2
Kenneth G.,Connaughty,8556341-1
Donald Charles,Sheldon,4040116-1
Jayden Lloyd,Montgomery,6042855-4
Marcus H.,Shelton,4095692-1
John Clarence,Lee,6276330-4
Roald N.,Leif,5746926-3
David J.,Kenny,6249155-2
John A.,Mahoney,4200714-1
Ward H.,Robinson,5324175-2
Jeff,Swenson,5710001-4
Shyam,Shankar,9948254-4
Henriette,Edmonds,D543474-1
Sergio,Hernandez,9863476-3
Richard A.,Baugh,3953840-2
Dorothy M.,Sweetman,3945337-1
Michael Dean,McClellan,8732665-6
Hamilton,Stewart,6836320-2
Robert M.,Lucci,6032417-2
Richard,Kolasinski,4451381-2
Suman,Tatiraju,9940905-3
Chris Edward,Haga,7084494-3
Hsiao-Show,Tseng,5695640-1
Robert Warren,Johnson,6351380-2
Michael L.,Payne,6244631-1
Raymond A.,Milio,9045001-1
Lawrence T.,Lange,4816685-1
Tom E,Hansen,D678701-1
James M.,Mussler,4099237-2
Stanley P.,Wellman,4180133-4
Bobby Frank,McMillin,7681645-1
Wilson W.,Leong,8505248-1
Maurice Cyril,Bryceland,4032731-1
Sundar,Naresh,8499312-1
Albert,Karper,4140354-1
Joseph E.,Kovach,5647421-3
Kevin,Ross,5418576-1
Rella M.,Bartlett,D359857-1
Matt,Merk,6590151-1
Craig M.,Ripley,5325553-1
Eileen,Zirpolo-Kisco,8147438-2
Jesse M.,Lopez,7040115-1
Dan A.,Pruzan,5398547-4
Howard Y.,Chen,5750826-2
Robert,Piccirilli,9862583-1
Richard W.,Nykamp,7078085-1
Carl R.,Pittman,3962600-1
Anthony S.,Molavi,7496285-1
Thomas C.,Burk,4809696-3
Phillip C.,Chesser,10105876-3
James A.,Lofland,5440789-1
Chieh,Sun,4746273-1
Keith L.,Curts,7530621-1
Lawrence,La Rocco,4070012-1
James,Foden,D336704-1
Kwok Hung,Si,7010612-1
Michael,Appelton,5127044-2
Gregory H.,Guinther,6821932-1
John Andrew,Pratt,10076863-1
Dave,Petrovic,6349969-2
E. Frank,Schultz,4687523-2
Jiangqi,He,6731493-2
Kim,Malesky,8338452-12
Boris,Boskovic,4384702-1
Jose S.,Alonso-Miralles,9476359-2
Mark,Chelak,7744478-1
Ron,Ross,4462078-1
Norman S.,Shemitz,4233656-1
Larry J.,Sliker,5107790-1
Elaine R.,Boliere,5446890-4
Bingwei,Lu,9265788-2
Jonathan F.,Day,5943815-3
Keith E.,Harbin,4841588-1
Kenneth W.,McElroy,4192909-1
Jimmy L.,"Adams, Jr.",5950378-2
Steven Michael,Wilton,7234495-2
D. Thurston,Griggs,4949382-1
Peter J.,Rauch,9291195-2
Eyal,Morag,6676692-2
James R.,Haggard,9922377-2
James Joseph,Christen,6588222-4
James D.,Evans,4678452-2
E. Kevin,Schopfer,5178430-1
Mads,Hommelgaard,9601203-1
David A.,Newitter,4261697-1
Roger P.,Charette,6105940-1
Lawrence J.,Novak,5737851-1
Howard Walter,Walker,8866001-2
Cambis Joseph,Farahmandi,8599534-1
Julio J.,Santos-Munn,6738691-3
Michael,Rosenweig,6188991-1
Wayne,Jewell,9056215-2
Dinah C.,Huang,4376721-1
Vivek,Srivastava,7475061-3
R. Jennhwa,Fu,5189679-5
Joseph Allen,Eckstein,10016314-1
William Paul,Zeggert,6629266-5
Michael P.,Citron,9011876-2
Clifford E.,Cotton III,6959732-1
Jordan Dean,Yoder,D712205-2
Jerrold,Milks,6304039-3
Anthony P.,Herff,4044328-1
Swetha,Ramegowda,9580890-4
Sungman,Cha,4613604-6
Ronnie L.,Howard,6887505-2
Richard G.,Austin,4209465-1
Stefan,Kaczmarek,7441180-1
Eric C.,Hales,4072361-1
George F.,Nihizer,D254563-1
Dennis,Kelly,6827750-4
Ming-Chyuan,Hsu,5007050-3
Alden,Dorosario,7299270-4
Douglas Kay,Furr,6305293-2
Marianne,Casserly,D833776-1
Jeff,Rendlen,7199305-3
Reginald,Thomas,10063814-7
Susan Yen-Tee,Tseng,6030846-2
William O.,Thurman,4277689-5
Kanika,Arora,10047360-3
Anna,Khoruts,D694491-4
Anthony Michael,Klodowski,10075114-2
Don,Ludolph,9242043-1
Mohammad Danesh,Kadivar,7492598-4
Steve Shih-wei,Liao,7404067-5
Rayman Dupre,Stanelle,7261813-2
Jeremia P.,Starace,4124176-2
Raymond,Samaniego,10102682-1
Phillip W.,Bishop,6004400-1
Robert Oliver,Wareheim,5709158-1
Don W.,Kirkconnell,9855804-1
Susan A.,Dorr,6725230-2
Bradley Dean,Peters,8261457-1
Jack M.,Millay,4844306-2
Adam,Thurn,8739620-3
John,Vorwaller,7186332-3
Robert F.,Thomas,6935968-1
Steven D.,Cheung,5065794-1
Ferdinand,Henss,8631653-2
Ronald W.,Bunn,8691341-4
Adolf,Wegmann,5108673-1
Lew,Lambert,5823576-1
Donald S.,Nelson,10076623-1
Rick D.,Watts,10087716-2
Herman,Rovin,3968760-1
Mingtai,Chang,5298919-1
Larry,Henry,7646336-3
Steve J.,Jansen,6422501-3
Daniel L.,"Williams, Jr.",4688582-4
Eric M.,Storne,10123800-2
Danny,Heflin,6712089-1
Chong F.,Shun,5332705-2
Dmitry,Semiannikov,7663635-3
John Kenneth,Keane,9515892-3
Clayton James,Brand,D807391-3
Justin,Gilmore,7134267-1
R. James,Crosland,7007825-1
Craig L.,Brown,7803309-2
Jamie L.,Barbetti,4689448-2
Michael L.,White,6957717-1
Brian,Parten,9772965-1
Richard,Huggins,4953848-2
Tom,Szilagyi,6891796-4
Charles G.,Smith,4065556-1
Elis D.,Hanson,4484327-1
Leonard J.,Zimont,4277508-3
John E.,Falk,5528936-1
Benjamin,Hardebeck,9167807-1
Gerard D.,Davis,5555535-1
Mark E.,Kurtz,4535247-1
Teresa A.,Brandt,6750043-4
John V.,Frangioni,5069773-1
Russell L.,Chester,4031856-1
Patrick F.,McPherson,3986191-2
Lane,Briley,5394832-1
Vani B.,Bodepudi,7138504-1
Raza,Mirza,7424344-1
John J.,Wollan,4896128-1
Andrew J.,Martin,D349876-1
Madison L.,Deal,4922742-2
Rajat,Duggal,8877885-6
Menglu,Jiang,9261878-3
Flavio Ly,Hau,7513474-3
Karl R.,Gilgenbach,8007248-3
Kristine A.,German,6167228-1
Ken,Geiger,6705475-1
Paul P.,Zebus,4066039-2
Elizabeth A.,Efford,4751331-1
Charles E.,Burkhardt,4205288-3
Robert E.,Gestner,5175197-1
Michael,Stiney,6871645-2
Donald B.,Butterfield,5026462-1
Kwan,Lee,D741853-2
Rickard,Barrefelt,9419366-1
Warren C.,Nilson,4436342-1
Wesley O.,"Davis, Jr.",4462532-1
Richard L.,Sykes,10060285-2
Rajiv,Prinja,8093474-4
James E.,Tranchina,6798310-3
James L.,Thompson,3978662-3
Anthony P.,Wickman,6939089-1
Thomas R.,Guimont,6783123-1
Fritz C.,Sjobom,5515253-1
Billy L.,Trout,7693725-1
Neal E.,Van Fossan,4596490-1
Michael James,Boler,6912407-4
Jerome,Dean,5545086-2
Michael R.,Rosecrans,7862227-2
Aamir W.,Siddiqui,9532578-1
Ira V.,Hager,4508102-1
Robert C.,Fraser,D500518-1
Dennis Patrick,Miller,6625020-4
Shu W.,Wang,7280232-2
Robert,Mayer,6019352-1
Alexander N.,Moshchuk,10135842-1
Marshall,Mullins,6719453-6
George,Andrassy,5775342-2
Christopher J.,Cavanagh,7064700-4
Walter,Schilloff,6498708-1
Luis,Varela de la Rosa,6927267-1
Gary W.,Hallock,4531154-1
Mohan,Gundu,9871687-4
Brian R.,Reuter,3937521-1
Kartika Putra,Prihadi,6259957-4
Jeff J.,Stapleton,7941668-1
Jackson R.,Miller,7575238-1
Taryl,Jasper,10048657-8
Joe L.,De La Cruz,5563339-2
Ravinder Kumar,Sabhiki,7126963-3
Terrance L.,Markwardt,4444447-1
Juan I.,Perez,5961532-4
Werner,Kummerle,6234370-1
Edward D.,Barkan,10025962-1
Charles J.,DeCaro,3973605-1
Christopher J.,Lazzara,7513275-1
Bruce Allen,Champion,8007287-1
Harold F.,Winters,4103042-1
Anne Stickley,Michel,6400947-2
Peter,Lems,4077313-1
Corey J.,Veverka,5662062-1
Andrew N.,Mimikos,5747052-1
Joe A.,Landers,10013453-2
Dave,Willett,10024977-2
Carlos M.,Ruiz,5807408-1
Magdalena Janina,Nocko,8230757-1
Donald P.,Williams,5278709-5
Michael I.,Savic,4140109-1
Umberto,Scapellati,4169532-1
Timothy C.,Dzurik,10000330-2
Perry J.,Narancic,7668849-1
Richard F.,Rynaski,5345046-1
Yun,Yue,7903465-5
M. Sultan,Siddigi,4532107-1
Andy,Mai,10055010-6
Candace,Carlton,10118751-2
Mark Edward,Endlish,4611040-3
Robert W.,Baumbach,D345170-1
Jeremy,Sarao,9738401-2
Vladimir,Vints,6606637-4
James T.,Underwood,5003721-1
Jonathan R.,Beckwith,4914025-2
Thomas W.,Roslan,5295221-1
Seiji,Hayashi,4455547-2
Michael R.,Thompson,6139179-2
Maxwell A.,Thompson,3944846-1
Stephen Curtis,Johnson,9692419-2
Amanda M.,Clark,D616020-2
James R.,Holland,5160191-1
Gerald F.,Dulin,4289998-1
David M.,Whittingham,7490795-2
James,Maule,4204494-2
Chris,Tembreull,9700805-2
Gary V.,Rubin,5457902-1
A. Norman,Lamph,4188859-2
Dennis K.,Klipa,4886922-1
Jack G.,Fortini,4024247-1
John,Kirchberg,5269895-2
Darrell D.,Whitehurst,3944501-1
Gautam R.,Ranade,4451664-1
Thomas C.,Roberts,3941098-1
Geoffrey J.,Gerling,5790780-3
Kenneth,Lucchesi,10002746-4
Virginia W.,"Hughes, Jr.",6115720-4
Thomas E.,Shanley,5188038-1
Jack,Anthony,4714595-1
Norma B.,Morgan,6117458-1
Fred,Cisneros,7631699-1
Ronald E.,Negri,5032724-2
Andrew,Kolkind,7484427-1
Edward R.,Beadle,4814714-1
Duane E.,Norby,7160519-1
Joshua Kawarii,Littlefield,9228696-2
Dale E.,Duncan,4227510-2
Kermit E.,Brown,4744148-1
Sam,Hadden,4614668-2
Janet,Donner,6330018-2
F. Mark,Ferguson,5470710-4
Joel P.,Grover,8888709-2
Donald W.,Schmidt,10025589-4
Deborah A.,Harbin,4841588-2
K. Barry A.,Williams,4873757-1
P. G.,DeBaryshe,4737858-1
Gregg A.,"VanDusseldorp, Sr.",10070917-1
Peter R.,Emtage,3975658-1
Peter David,Bailey,5654672-1
Wai K.,Chau,D643881-1
Karl G.,Reimer,10099968-1
Kenneth,Rushing,9028708-5
Steven Eugene,Dunlap,6114327-1
Roch J.,Tolinski,6273501-3
Yanting,Dong,7337000-2
Joanna,Schmit,5991461-2
Jeremiah,Smith,8931489-1
Franziska M.,Shepard,4203053-1
Laura E.,Brauer,5158362-1
Christopher A.,Heinrich,5954709-3
Thomas C.,Eidenschink,6030407-1
Helen H.,Wang,7410658-1
Gregory Allen,Williams,6600238-4
Amy M.,Blough,5736477-1
Harold J.,Syring,6711007-1
Andy,Middlemiss,8335574-1
Eriko,Hayashi,5001775-1
John P.,Casari,10067027-1
Ronald G.,Goulet,5810494-5
Krishnendu,Chakraborty,6542911-1
Pravin,Singhal,10021018-1
Jimmy,Rucker,4178364-1
Alexander J.,Orosz,4416497-3
Wilfredo,Moscoso,7617750-1
Charles M.,LaMotta,7003526-2
Gerardo,Garcia-Lerma,7691572-2
Neil,Neville,9259838-3
Pamela,Green,9326902-3
Douglas R.,Sarver,4177843-1
Pramathesh S.,Patel,5364623-1
Jose A.,Moreno,4131364-1
Ignacio,Silva-Lepe,10057331-5
Donald Francis,Wallach,3941662-3
Edward J.,Schneid,5036546-2
Jiahong,Ni,7524821-2
Robert Lee,"Ayers, Sr.",4113512-1
Harvey R.,Rodstein,D254757-1
Stephen A.,Smith,5269430-3
George W.,Tholl,5352475-1
Sastri L.,Kota,7219132-2
Eleanor,Workman,4537313-1
Kiumars,Ghowsi,5092972-1
Roger W.,Boucher,3968797-2
Gary M.,Plyler,4620381-1
Stephen J.,Engel,4974169-1
Wolfgang,Werner,10032767-1
Richard C.,Henderson,6247493-1
Roberto,Zarate,7317993-2
Michael C.,Di Lauro,8083796-6
Daniel B.,Considine,5522612-1
Avery,Tung,6399036-3
Douglas Charles,Tomczak,6719965-1
Yun,Kim,5252835-2
Sean P.,Titus,5718294-3
Michael J.,De Rush,4862721-1
Raia,Hadsell,8532863-1
Jonathan,Shay,4585358-1
Phil,Burnett,D765358-1
Laurens,Anderson,4495346-1
Alain Blaing,Nadiguebe,8184027-1
Pelar,Thompson,8618926-1
Paul Edward,Holland,5696961-4
Ronald Thomas,Clawson,6499993-4
John,Malyuk,4398375-1
Steven R.,Levine,10040620-2
Andrew,Ralston,6872665-4
Peter,Merrill,6614432-1
Suhong,Zhang,5648511-10
Andrew P.,Kraftsow,8150827-1
Eric W.,Due,9723910-1
David J.,Boles,8002779-2
Carlos,Basto,7975093-2
Steven,Harrelson,7665377-1
Edwin M.,Stone,5458749-1
Andre Philip,Springer,D739290-2
Ping,Sager,7146514-2
Steven Christopher,Fraioli,6058462-4
Dawn E.,DePrey,7422244-2
George C.,"Williamson, III",4877354-1
Victoria,Arendt,10064404-4
Ronald,Dobois,6281790-4
Carl A.,"Tomasello, Jr.",4527937-1
Barry R.,Mix,6074551-2
Bryan C.,Sherman,5985208-2
Shivakumar Shankar,Chonnad,6601024-1
Surendra R.,Otiv,5084572-4
Eric L.,Zelmer,5156181-2
Robert Bruce,Gage,5938765-3
Atsushi,Togashi,5015716-1
Earl B.,Sargent,D366763-1
Susan Mabel,Twombly,6247698-1
Hillary,Lindeman,D826979-4
Daniel,Hosler,7963252-3
Sheng-Suan,Cai,9726655-3
Todd M.,Addison,6186934-1
Richard J.,Febonio,4095131-1
Blaise A.,Lewark,6036610-1
Francis X.,Kaczynski,5965089-9
Belva J.,Hayden,6004095-4
Carolyn A,Crocker Rue,9955782-2
Kim,Sellick,D569723-1
Kyle,Gee,9079668-1
Raymond R.,Price,3997025-1
Yun-Shan,Chang,9246354-1
C. Conway,Wilson,4312279-2
Karl L.,Glafenhein,5516414-1
Ryan H.,Peloquin,D646535-2
Krishnakumar,Balasubramanian,7329642-2
Daniel,Bacon,9788707-5
John R.,Lagana,9756404-5
Theodore N.,Knerr,4365691-3
Michael,Thee,5256973-1
Gerald L.,Fudge,6452982-3
Anthony M.,Taormina,6578576-2
Harold A.,Luettgen,10016254-1
Scott John,Cook,10084242-1
Jaesung,Cha,6192319-3
Kieran Eugene,McMullen,5720111-1
Rudolph A.,Garriga,10050495-1
Ross M.,Groening,7191965-15
Robert F.,Starry,3995223-4
Brent,Moyers,7891629-1
Christopher P.,Montalbano,10117958-2
Matthew,Rokenbrod,7917372-6
Holly Marie,Zuziak,6093027-4
Artaches,Haroutunian,9575156-2
John J.,"Stanaway, Jr.",4873717-6
Diana L.,Griffith,6273598-2
Dustin,Williams,9982777-2
Douglas E.,Gerber,5867864-3
Darren V.,Levine,9335569-1
Michael H.,Cave,D256393-3
Ramakanth,Alapati,7253118-4
Lou,"Rubino, Jr.",D637163-1
Steven,Weisbrod,10059361-1
David K.,Coats,5709604-1
Edoardo,Prete,10103837-4
Timothy,Waterlyn,6088848-1
Roberto,Sonnino,9801219-1
Robert J.,Balog,5669970-1
Nigel,King,10001191-3
Charles B.,"Perkins, Jr.",5199106-8
Walter R.,Park,6556138-6
Craig J.,Sweere,9057476-2
Tullio U.,Vigano,4953708-3
Jeffrey,Hubbard,8307838-1
Norman E.,Bullock,4195220-2
John B.,Walsh,4985899-1
Michael L.,LaLonde,9079302-1
John E.,Coleman,4500499-2
Timothy N.,Mayfield,5022678-1
Erica M.,Lau,7305649-3
Michael H.,Holland,7028357-1
Christopher Lee,Bongiovanni,8389631-1
Robert,Shaw,10136529-4
Frank Graham,Sommer,10035009-1
Andre,Steynberg,9725385-1
Silvano,Pocci,4781418-1
David,Harvey,6259965-2
Michael John,Maich,6591515-2
Walter F.,Kosar,4391068-1
Nezar,Ahmed,6809523-1
Hugh,Perera,D605310-2
Campbell,Moore,5978564-4
Walter F.,Truszkowski,7886273-3
Carl J.,Heltzel,4085850-1
Richard O.,Bradley,7500531-5
Robert G.,Roodman,6425941-1
Harry T.,Myers,5758552-1
James D.,"Jones, Jr.",5188495-1
James E.,Maloney,4017335-1
Daniel D.,Comeaux,7309058-2
Jerry L.,"Chapman, Jr.",4762786-1
Jie,Yang,5410910-1
David Trehame,Rees,7421125-1
William A.,Browne,5046693-1
John W.,O'Byrne,5125743-2
Steven C.,Schapel,6210575-2
Harold J.,Walbrink,5041096-2
Neil,Slavin,5617504-2
Edmund C.,Rastrelli,4889664-3
Dave,McLeod,7841394-3
Joan M.,King,7671242-3
Ben,Smith,9188189-2
Russell R.,"Lalevee, Sr.",5025569-1
Scott James,Rossi,5445560-2
Ta-Min,Feng,6403711-3
Donald E.,Voss,4825149-1
Benjamin T.,Brodie,4274143-1
Robert,Carter,5529053-1
Andrew B.,Campbell,4365676-2
Scott,Bilodeau,D834316-3
Richard W.,Seeger,4530863-1
James R.,Deem,4798968-1
Russell A.,Rymut,6517497-1
Timothy Garett,Rickard,8228666-1
Claude C.,"Frazier, III",4879479-1
David Raymond,Pedersen,10003320-1
Brent,Weisman,9138293-1
Ferdinand J.,"Nist, Jr.",4099617-1
Aden Martin,Allen,7344434-10
George F.,"Mattison, Jr.",4660272-3
Todd C.,McCann,8851549-2
Reinhold,Gerharz,3961851-1
David,Vick,7955097-4
Mila,Genov,6297611-3
Benjamin A.,Vosmek,9848620-2
John F.,Braun,4341728-2
Arthur M.,Ackerman,D273452-1
Thomas H.,George,4282283-2
Robert S.,Loya,5698281-2
Ricardo E.,Gonzalez,10089126-2
John A.,Pavlo,5824000-1
Omar,Benzaid,9698714-2
Peter,Panelli,D360469-1
E. William,Rowland-Hill,4291709-2
